,request.id,@timestamp,request.operationID,request.requestTime,request.client,request.method,request.path,response.code,response.length,runDate
550,23439db3-b99f-5083-b0d5-2e6d28b3088f,2019-12-18T13:56:15.877627573Z,GetSimplifiedDiagnostic,5892973397,10.244.0.1:58124,GET,/caf/GetSimplifiedDiagnostic,200,1073,2019-12-18
551,b0d8d657-f475-5695-b5fa-294c24d27fca,2019-12-18T13:59:39.309166785Z,GetSimplifiedDiagnostic,5957106721,10.244.0.1:58298,GET,/caf/GetSimplifiedDiagnostic,200,1085,2019-12-18
552,a12f2537-08c7-5f15-baa5-f093fe7fac5b,2019-12-18T13:59:08.52273778Z,GetSimplifiedDiagnostic,6163015518,10.244.0.1:58273,GET,/caf/GetSimplifiedDiagnostic,200,1085,2019-12-18
553,1f416879-052b-52bc-bad6-43fbd460545d,2019-12-18T13:59:54.305666172Z,GetSimplifiedDiagnostic,5800013588,10.244.0.1:58307,GET,/caf/GetSimplifiedDiagnostic,200,1083,2019-12-18
554,28f5031a-b7f3-58cc-9ad1-60cb93e0248c,2019-12-18T13:59:16.704356928Z,GetFullDiagnostic,5939131306,10.244.0.1:58280,GET,/caf/GetFullDiagnostic,200,1085,2019-12-18
555,6e97749e-746d-5175-8374-f9464f3f8c3f,2019-12-18T14:00:02.088295324Z,GetSimplifiedDiagnostic,5740593803,10.244.0.1:58312,GET,/caf/GetSimplifiedDiagnostic,200,1087,2019-12-18
556,38c29dd6-c3dd-5b31-8819-79a704981798,2019-12-18T14:00:17.432058717Z,GetSimplifiedDiagnostic,5632481032,10.244.0.1:58320,GET,/caf/GetSimplifiedDiagnostic,200,1086,2019-12-18
557,f40a1e8f-5758-51ef-ad23-e7dffd00b900,2019-12-18T14:00:19.226648356Z,GetSimplifiedDiagnostic,5607453750,10.244.0.1:58321,GET,/caf/GetSimplifiedDiagnostic,200,1084,2019-12-18
558,1507ae6d-e3f0-569f-8f73-898d31c74188,2019-12-18T14:00:30.617205791Z,GetSimplifiedDiagnostic,5735698451,10.244.0.1:58329,GET,/caf/GetSimplifiedDiagnostic,200,1086,2019-12-18
559,001f3d0b-d31b-53fd-a58d-64695513411c,2019-12-18T13:24:29.833490161Z,GetSimplifiedDiagnostic,11528837351,10.244.0.1:56466,GET,/caf/GetSimplifiedDiagnostic,200,1115,2019-12-18
560,9d07fe41-0dbd-50e8-b30b-9673f4eecb15,2019-12-18T13:24:36.555954418Z,GetSimplifiedDiagnostic,6724757798,10.244.0.1:56473,GET,/caf/GetSimplifiedDiagnostic,200,1116,2019-12-18
561,a257927a-ba9d-5d11-ba69-1d45a92219a7,2019-12-18T13:24:22.055653978Z,GetFullDiagnostic,5616003633,10.244.0.1:56463,GET,/caf/GetFullDiagnostic,200,1116,2019-12-18
562,a586a4cc-90c4-5a08-b44c-67f038ebe8e2,2019-12-18T13:24:36.652139879Z,GetFullDiagnostic,6423861762,10.244.0.1:56474,GET,/caf/GetFullDiagnostic,200,1116,2019-12-18
563,2bd8b84a-0e1f-5aa5-8a8c-05ba369fbcd5,2019-12-18T13:25:50.56100264Z,GetSimplifiedDiagnostic,5919793558,10.244.0.1:56524,GET,/caf/GetSimplifiedDiagnostic,200,982,2019-12-18
564,06a03caf-e24a-5b89-8592-1e098ddacd85,2019-12-18T13:25:38.232222591Z,GetSimplifiedDiagnostic,7263466809,10.244.0.1:56513,GET,/caf/GetSimplifiedDiagnostic,200,984,2019-12-18
565,3a2bda79-b5e2-53b1-98ff-5adbc4e7846c,2019-12-18T13:25:44.62742384Z,GetSimplifiedDiagnostic,6384693391,10.244.0.1:56519,GET,/caf/GetSimplifiedDiagnostic,200,985,2019-12-18
566,d72340d5-110b-5f3b-b20f-43039a0fde4e,2019-12-18T13:25:48.934003864Z,GetFullDiagnostic,5408643103,10.244.0.1:56522,GET,/caf/GetFullDiagnostic,200,984,2019-12-18
567,0e7604b9-aa2a-5573-a180-b4464113a4ef,2019-12-18T13:26:53.355953178Z,GetSimplifiedDiagnostic,5401834140,10.244.0.1:56567,GET,/caf/GetSimplifiedDiagnostic,200,970,2019-12-18
568,ee32ea04-8d6f-56df-9124-491b0a0692ca,2019-12-18T13:26:56.899944037Z,GetSimplifiedDiagnostic,5475573118,10.244.0.1:56568,GET,/caf/GetSimplifiedDiagnostic,200,947,2019-12-18
569,a65566e1-7efe-56b2-a406-b3ccdea178c2,2019-12-18T13:27:24.840532025Z,GetSimplifiedDiagnostic,5314380074,10.244.0.1:56586,GET,/caf/GetSimplifiedDiagnostic,200,964,2019-12-18
570,5a5addfa-c78c-5650-b073-ddb297b63818,2019-12-18T13:27:35.544139791Z,GetSimplifiedDiagnostic,5398836668,10.244.0.1:56592,GET,/caf/GetSimplifiedDiagnostic,200,965,2019-12-18
571,ad6a33df-8f74-5dc6-b702-964151121f92,2019-12-18T13:27:13.70866744Z,GetSimplifiedDiagnostic,5406621480,10.244.0.1:56578,GET,/caf/GetSimplifiedDiagnostic,200,946,2019-12-18
572,ff9e94a7-0db9-52a7-a2e1-7c61fc5c0849,2019-12-18T13:30:56.022143245Z,GetSimplifiedDiagnostic,6428528166,10.244.0.1:56676,GET,/caf/GetSimplifiedDiagnostic,200,1124,2019-12-18
573,db1a158e-6688-5927-92db-35a83a77d82d,2019-12-18T13:30:49.609585239Z,GetSimplifiedDiagnostic,7638275258,10.244.0.1:56671,GET,/caf/GetSimplifiedDiagnostic,200,1123,2019-12-18
574,555cb440-f24b-56d6-bd9e-c0600c33566f,2019-12-18T13:28:27.238731953Z,GetSimplifiedDiagnostic,5470751229,10.244.0.1:56631,GET,/caf/GetSimplifiedDiagnostic,200,1102,2019-12-18
575,5c14986d-8a3d-50ac-b40e-9498b7b7b13a,2019-12-18T13:30:54.74029054Z,GetSimplifiedDiagnostic,5846144089,10.244.0.1:56674,GET,/caf/GetSimplifiedDiagnostic,200,1126,2019-12-18
576,863feefb-45f9-5fa6-a907-fe63e53e97f5,2019-12-18T13:32:35.630405628Z,GetSimplifiedDiagnostic,6164241626,10.244.0.1:56788,GET,/caf/GetSimplifiedDiagnostic,200,966,2019-12-18
577,ff68e174-195b-5293-bae0-5ac387f7ca04,2019-12-18T13:32:41.204269337Z,GetSimplifiedDiagnostic,5560677854,10.244.0.1:56808,GET,/caf/GetSimplifiedDiagnostic,200,971,2019-12-18
578,59a96791-75b9-5586-bed6-3dcdefe46729,2019-12-18T13:31:55.126270738Z,GetSimplifiedDiagnostic,5898092632,10.244.0.1:56737,GET,/caf/GetSimplifiedDiagnostic,200,1124,2019-12-18
579,5090c9b1-0ef2-5108-9a3f-e8856668f5bb,2019-12-18T13:32:00.962684243Z,GetSimplifiedDiagnostic,5813964777,10.244.0.1:56740,GET,/caf/GetSimplifiedDiagnostic,200,1087,2019-12-18
580,01fffc0f-c91f-5377-8555-baace2beea43,2019-12-18T13:32:29.474510713Z,GetSimplifiedDiagnostic,5426408400,10.244.0.1:56780,GET,/caf/GetSimplifiedDiagnostic,200,963,2019-12-18
581,27519695-845d-52fb-9d20-85960394fa8a,2019-12-18T13:34:21.590588837Z,GetSimplifiedDiagnostic,6373791143,10.244.0.1:56921,GET,/caf/GetSimplifiedDiagnostic,200,947,2019-12-18
582,c9712655-a940-58b5-a9ba-7e32f6b1def3,2019-12-18T13:34:12.045651286Z,GetFullDiagnostic,5790897414,10.244.0.1:56915,GET,/caf/GetFullDiagnostic,200,985,2019-12-18
583,bfa78d9c-2dd8-5d27-9e0c-c11c10bdab61,2019-12-18T13:33:52.444223851Z,GetSimplifiedDiagnostic,6104354840,10.244.0.1:56901,GET,/caf/GetSimplifiedDiagnostic,200,1063,2019-12-18
584,0d612a8c-13be-52cc-bbc3-31803a71ac76,2019-12-18T13:34:00.391679505Z,GetFullDiagnostic,6074691394,10.244.0.1:56907,GET,/caf/GetFullDiagnostic,200,1081,2019-12-18
585,cb245500-7e5d-5949-9892-9182639b3bd3,2019-12-18T13:34:06.241743588Z,GetFullDiagnostic,5840216811,10.244.0.1:56911,GET,/caf/GetFullDiagnostic,200,966,2019-12-18
586,d9d734f2-b182-58a9-97e2-bc3cc7872f12,2019-12-18T13:33:30.960437554Z,GetFullDiagnostic,5768582726,10.244.0.1:56872,GET,/caf/GetFullDiagnostic,200,987,2019-12-18
