response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
30.0005,0.0479,0.0000,0.0000,2.4076,27.5448,200,0.2415
30.0005,0.0478,0.0000,0.0000,1.4072,28.5453,200,0.2415
30.0005,0.0475,0.0000,0.0001,3.4103,26.5422,200,0.2416
30.0006,0.0477,0.0000,0.0001,0.4104,29.5422,200,0.2415
30.0003,0.0484,0.0000,0.0000,4.3938,25.5580,200,30.2421
30.0003,0.0476,0.0000,0.0001,1.4304,28.5222,200,30.2421
30.0003,0.0484,0.0000,0.0001,0.4266,29.5252,200,30.2421
30.0004,0.0484,0.0000,0.0001,5.3918,24.5601,200,30.2420
30.0004,0.0488,0.0000,0.0001,3.4224,26.5291,200,60.2424
30.0004,0.0491,0.0000,0.0001,0.4149,29.5363,200,60.2424
30.0004,0.0488,0.0000,0.0001,1.4186,28.5329,200,60.2424
30.0006,0.0491,0.0000,0.0000,2.4251,27.5264,200,60.2425
30.0002,0.0479,0.0000,0.0000,1.4525,28.4998,200,90.2428
30.0002,0.0478,0.0000,0.0000,0.4454,29.5068,200,90.2428
30.0002,0.0477,0.0000,0.0001,6.4718,23.4806,200,90.2428
30.0001,0.0476,0.0000,0.0000,5.4709,24.4816,200,90.2431
30.0003,0.0484,0.0000,0.0001,1.4417,28.5102,200,120.2431
30.0002,0.0482,0.0000,0.0001,3.4452,26.5067,200,120.2432
30.0005,0.0485,0.0000,0.0000,2.4461,27.5059,200,120.2431
30.0005,0.0484,0.0000,0.0001,0.4425,29.5094,200,120.2431
30.0003,0.0482,0.0000,0.0000,0.4590,29.4931,200,150.2435
30.0003,0.0483,0.0000,0.0000,9.3566,20.5954,200,150.2436
30.0007,0.0481,0.0000,0.0001,1.4627,28.4898,200,150.2434
30.0007,0.0483,0.0000,0.0000,8.3515,21.6008,200,150.2434
30.0004,0.0492,0.0000,0.0000,3.4804,26.4708,200,180.2439
30.0003,0.0488,0.0000,0.0000,0.4766,29.4749,200,180.2441
30.0004,0.0488,0.0000,0.0001,2.4797,27.4718,200,180.2441
30.0006,0.0485,0.0000,0.0001,1.4762,28.4758,200,180.2439
30.0002,0.0485,0.0000,0.0000,0.4416,29.5100,200,210.2444
30.0001,0.0485,0.0000,0.0000,3.9195,26.0321,200,210.2445
30.0005,0.0486,0.0000,0.0001,4.9231,25.0287,200,210.2443
30.0004,0.0487,0.0000,0.0000,1.4426,28.5090,200,210.2444
30.0003,0.0485,0.0000,0.0000,2.4673,27.4845,200,240.2446
30.0002,0.0482,0.0000,0.0001,3.4667,26.4851,200,240.2448
30.0004,0.0487,0.0000,0.0001,1.4619,28.4897,200,240.2448
30.0006,0.0485,0.0000,0.0000,0.4671,29.4850,200,240.2446
30.0007,0.0478,0.0000,0.0001,2.4425,27.5103,200,270.2451
30.0005,0.0482,0.0000,0.0000,1.4390,28.5132,200,270.2452
30.0009,0.0482,0.0000,0.0000,3.4476,26.5051,200,270.2450
30.0008,0.0476,0.0000,0.0001,0.4324,29.5207,200,270.2452
30.0004,0.0474,0.0000,0.0001,1.5016,28.4513,200,300.2457
30.0004,0.0478,0.0000,0.0000,3.5063,26.4461,200,300.2459
30.0005,0.0473,0.0000,0.0000,2.5073,27.4459,200,300.2460
30.0007,0.0475,0.0000,0.0000,0.5050,29.4482,200,300.2458
30.0004,0.0483,0.0000,0.0000,3.5059,26.4461,200,330.2462
30.0003,0.0482,0.0000,0.0000,1.4952,28.4568,200,330.2463
30.0002,0.0482,0.0000,0.0000,2.5050,27.4470,200,330.2464
30.0002,0.0480,0.0000,0.0001,0.4981,29.4541,200,330.2465
30.0003,0.0482,0.0000,0.0001,2.4558,27.4962,200,360.2465
30.0003,0.0488,0.0000,0.0000,0.4404,29.5110,200,360.2465
30.0002,0.0482,0.0000,0.0000,1.4466,28.5053,200,360.2467
30.0003,0.0488,0.0000,0.0000,3.4498,26.5017,200,360.2467
30.0002,0.0481,0.0000,0.0000,3.4585,26.4936,200,390.2470
30.0004,0.0483,0.0000,0.0000,0.4460,29.5060,200,390.2468
30.0003,0.0481,0.0000,0.0001,2.4528,27.4993,200,390.2469
30.0004,0.0482,0.0000,0.0000,1.4490,28.5032,200,390.2468
30.0004,0.0489,0.0000,0.0000,0.4937,29.4578,200,420.2472
30.0004,0.0488,0.0000,0.0000,3.4965,26.4551,200,420.2473
