response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
120.0003,0.0604,0.0000,0.0000,0.9944,118.9453,200,0.2464,-1
120.0002,0.0602,0.0000,0.0000,1.9856,117.9544,200,0.2467,-1
120.0005,0.0426,0.0000,0.0001,1.1773,118.7805,200,120.2466,-1
120.0007,0.0424,0.0000,0.0001,2.1833,117.7749,200,120.2469,-1
120.0003,0.0488,0.0000,0.0001,1.4389,118.5125,200,240.2472,-1
120.0011,0.0487,0.0000,0.0000,1.3874,118.5649,200,240.2476,-1
120.0003,0.0420,0.0000,0.0001,1.4320,118.5262,200,360.2475,-1
120.0005,0.0415,0.0000,0.0000,0.4325,119.5264,200,360.2487,-1
120.0003,0.0410,0.0000,0.0001,1.4356,118.5237,200,480.2478,-1
120.0002,0.0408,0.0000,0.0000,0.4405,119.5189,200,480.2492,-1
120.0003,0.0408,0.0000,0.0001,1.4445,118.5149,200,600.2482,-1
120.0002,0.0407,0.0000,0.0000,0.4408,119.5185,200,600.2494,-1
120.0003,0.0552,0.0000,0.0003,0.4862,119.4585,200,720.2485,-1
120.0002,0.0543,0.0000,0.0004,1.4966,118.4488,200,720.2496,-1
120.0003,0.0429,0.0000,0.0001,1.4138,118.5435,200,840.2488,-1
120.0002,0.0420,0.0000,0.0001,0.4189,119.5392,200,840.2498,-1
120.0003,0.0413,0.0000,0.0001,0.4397,119.5192,200,960.2491,-1
120.0002,0.0408,0.0000,0.0000,1.4379,118.5214,200,960.2499,-1
120.0003,0.0411,0.0000,0.0001,0.4462,119.5129,200,1080.2494,-1
120.0002,0.0410,0.0000,0.0001,1.4467,118.5124,200,1080.2501,-1
120.0003,0.0414,0.0000,0.0000,1.5170,118.4419,200,1200.2497,-1
120.0002,0.0408,0.0000,0.0001,0.5132,119.4462,200,1200.2503,-1
120.0003,0.0414,0.0000,0.0000,0.4311,119.5277,200,1320.2500,-1
120.0002,0.0407,0.0000,0.0001,1.4377,118.5217,200,1320.2505,-1
120.0003,0.0418,0.0000,0.0001,0.4797,119.4788,200,1440.2504,-1
120.0002,0.0414,0.0000,0.0001,1.4799,118.4787,200,1440.2507,-1
120.0003,0.0408,0.0000,0.0001,1.4299,118.5295,200,1560.2507,-1
120.0003,0.0408,0.0000,0.0001,0.4236,119.5358,200,1560.2509,-1
120.0005,0.0414,0.0000,0.0001,0.4221,119.5368,200,1680.2510,-1
120.0004,0.0413,0.0000,0.0001,1.4297,118.5292,200,1680.2511,-1
120.0003,0.0410,0.0000,0.0001,0.3892,119.5700,200,1800.2515,-1
120.0002,0.0409,0.0000,0.0001,1.3938,118.5653,200,1800.2516,-1
120.0002,0.0407,0.0000,0.0001,0.4205,119.5389,200,1920.2518,-1
120.0002,0.0404,0.0000,0.0001,1.4703,118.4895,200,1920.2518,-1
120.0002,0.0413,0.0000,0.0001,0.4420,119.5169,200,2040.2520,-1
120.0002,0.0413,0.0000,0.0001,1.4471,118.5117,200,2040.2520,-1
120.0003,0.0412,0.0000,0.0001,0.4175,119.5415,200,2160.2523,-1
120.0003,0.0419,0.0000,0.0000,1.4217,118.5365,200,2160.2523,-1
120.0003,0.0406,0.0000,0.0001,1.4220,118.5376,200,2280.2526,-1
120.0003,0.0408,0.0000,0.0000,0.4275,119.5318,200,2280.2526,-1
120.0003,0.0404,0.0000,0.0001,0.4105,119.5493,200,2400.2528,-1
120.0004,0.0407,0.0000,0.0000,1.4157,118.5439,200,2400.2528,-1
120.0003,0.0408,0.0000,0.0001,0.4222,119.5371,200,2520.2531,-1
120.0003,0.0409,0.0000,0.0001,1.4220,118.5372,200,2520.2532,-1
120.0003,0.0409,0.0000,0.0000,1.4589,118.5004,200,2640.2534,-1
120.0003,0.0409,0.0000,0.0001,0.4564,119.5030,200,2640.2534,-1
120.0003,0.0409,0.0000,0.0000,1.4581,118.5013,200,2760.2537,-1
120.0003,0.0406,0.0000,0.0001,0.4587,119.5008,200,2760.2537,-1
120.0002,0.0422,0.0000,0.0000,1.3825,118.5754,200,2880.2540,-1
120.0002,0.0411,0.0000,0.0001,0.3861,119.5729,200,2880.2540,-1
120.0003,0.0413,0.0000,0.0001,0.4464,119.5124,200,3000.2542,-1
120.0003,0.0415,0.0000,0.0000,1.4505,118.5082,200,3000.2542,-1
120.0002,0.0410,0.0000,0.0000,2.2776,117.6815,200,3120.2544,-1
120.0002,0.0403,0.0000,0.0001,3.2749,116.6850,200,3120.2544,-1
120.0010,0.0419,0.0000,0.0001,2.2638,117.6953,200,3240.2547,-1
120.0014,0.0418,0.0000,0.0001,3.2604,116.6989,200,3240.2547,-1
120.0003,0.0412,0.0000,0.0001,1.4440,118.5150,200,3360.2557,-1
120.0005,0.0411,0.0000,0.0000,0.4329,119.5265,200,3360.2561,-1
120.0003,0.0407,0.0000,0.0001,0.4194,119.5392,200,3480.2560,-1
120.0002,0.0405,0.0000,0.0001,1.4257,118.5338,200,3480.2566,-1
