response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
0.1124,0.0407,0.0000,0.0002,0.0711,0.0001,404,0.2133,159
0.1124,0.0420,0.0000,0.0000,0.0704,0.0000,404,0.2133,159
0.0912,0.0414,0.0000,0.0001,0.0495,0.0001,404,0.3257,159
0.0924,0.0415,0.0000,0.0000,0.0508,0.0001,404,0.3258,159
0.0905,0.0406,0.0000,0.0001,0.0497,0.0000,404,0.4181,159
0.0927,0.0421,0.0000,0.0001,0.0504,0.0001,404,0.4168,159
0.0946,0.0416,0.0000,0.0001,0.0528,0.0001,404,0.5086,159
0.0968,0.0421,0.0000,0.0000,0.0546,0.0001,404,0.5095,159
0.0931,0.0415,0.0000,0.0001,0.0515,0.0001,404,0.6033,159
0.0907,0.0413,0.0000,0.0000,0.0493,0.0001,404,0.6064,159
0.0943,0.0408,0.0000,0.0001,0.0533,0.0001,404,0.6971,159
0.0954,0.0416,0.0000,0.0001,0.0536,0.0001,404,0.6964,159
0.0917,0.0412,0.0000,0.0001,0.0502,0.0002,404,0.7914,159
0.0919,0.0422,0.0000,0.0000,0.0495,0.0001,404,0.7918,159
0.0891,0.0429,0.0000,0.0001,0.0460,0.0001,404,0.8831,159
0.0895,0.0425,0.0000,0.0000,0.0468,0.0001,404,0.8837,159
0.0870,0.0406,0.0000,0.0001,0.0462,0.0001,404,0.9722,159
0.0871,0.0404,0.0000,0.0000,0.0466,0.0001,404,0.9731,159
0.0849,0.0407,0.0000,0.0001,0.0439,0.0001,404,1.0592,159
0.0876,0.0416,0.0000,0.0000,0.0458,0.0001,404,1.0602,159
0.0835,0.0406,0.0000,0.0001,0.0428,0.0001,404,1.1441,159
0.0862,0.0410,0.0000,0.0001,0.0450,0.0001,404,1.1478,159
0.0845,0.0410,0.0000,0.0001,0.0433,0.0001,404,1.2276,159
0.0851,0.0404,0.0000,0.0001,0.0446,0.0001,404,1.2340,159
0.0850,0.0408,0.0000,0.0001,0.0439,0.0001,404,1.3121,159
0.0878,0.0408,0.0000,0.0001,0.0469,0.0001,404,1.3191,159
0.0891,0.0422,0.0000,0.0001,0.0466,0.0001,404,1.3970,159
0.0865,0.0409,0.0000,0.0000,0.0454,0.0001,404,1.4069,159
0.0850,0.0405,0.0000,0.0000,0.0443,0.0001,404,1.4861,159
0.0874,0.0411,0.0000,0.0001,0.0461,0.0001,404,1.4934,159
0.0841,0.0400,0.0000,0.0000,0.0439,0.0001,404,1.5711,159
0.0878,0.0411,0.0000,0.0000,0.0466,0.0001,404,1.5808,159
0.0859,0.0411,0.0000,0.0000,0.0447,0.0001,404,1.6552,159
0.0882,0.0420,0.0000,0.0001,0.0460,0.0001,404,1.6687,159
0.0858,0.0407,0.0000,0.0000,0.0450,0.0001,404,1.7412,159
0.0862,0.0409,0.0000,0.0001,0.0451,0.0001,404,1.7569,159
0.0876,0.0411,0.0000,0.0001,0.0463,0.0001,404,1.8270,159
0.0880,0.0419,0.0000,0.0001,0.0459,0.0001,404,1.8432,159
0.0861,0.0406,0.0000,0.0001,0.0453,0.0001,404,1.9146,159
0.0874,0.0419,0.0000,0.0000,0.0453,0.0001,404,1.9311,159
0.0866,0.0411,0.0000,0.0001,0.0452,0.0001,404,2.0006,159
0.0864,0.0410,0.0000,0.0001,0.0452,0.0001,404,2.0185,159
0.0866,0.0411,0.0000,0.0001,0.0452,0.0001,404,2.0872,159
0.0860,0.0415,0.0000,0.0001,0.0443,0.0001,404,2.1049,159
0.0863,0.0411,0.0000,0.0001,0.0449,0.0002,404,2.1738,159
0.0874,0.0422,0.0000,0.0001,0.0450,0.0001,404,2.1908,159
0.0872,0.0413,0.0000,0.0001,0.0456,0.0001,404,2.2601,159
0.0868,0.0411,0.0000,0.0000,0.0455,0.0001,404,2.2783,159
0.0858,0.0411,0.0000,0.0001,0.0443,0.0001,404,2.3473,159
0.0866,0.0404,0.0000,0.0001,0.0460,0.0001,404,2.3651,159
0.0858,0.0407,0.0000,0.0001,0.0448,0.0002,404,2.4331,159
0.0859,0.0408,0.0000,0.0001,0.0449,0.0001,404,2.4517,159
0.0888,0.0436,0.0000,0.0001,0.0449,0.0001,404,2.5188,159
0.0857,0.0408,0.0000,0.0001,0.0447,0.0001,404,2.5376,159
0.0865,0.0413,0.0000,0.0001,0.0450,0.0001,404,2.6076,159
0.0866,0.0416,0.0000,0.0001,0.0449,0.0001,404,2.6233,159
0.0870,0.0417,0.0000,0.0001,0.0450,0.0001,404,2.6941,159
0.0866,0.0413,0.0000,0.0001,0.0451,0.0001,404,2.7099,159
0.0873,0.0414,0.0000,0.0000,0.0457,0.0002,404,2.7811,159
0.0854,0.0409,0.0000,0.0001,0.0442,0.0001,404,2.7965,159
0.0882,0.0421,0.0000,0.0001,0.0458,0.0001,404,2.8684,159
0.0922,0.0406,0.0000,0.0001,0.0512,0.0002,404,2.8819,159
0.0985,0.0522,0.0000,0.0001,0.0461,0.0002,404,2.9566,159
0.0918,0.0457,0.0000,0.0001,0.0459,0.0001,404,2.9741,159
0.1043,0.0413,0.0000,0.0001,0.0627,0.0002,404,3.0552,159
0.1103,0.0405,0.0000,0.0001,0.0696,0.0001,404,3.0658,159
0.1045,0.0586,0.0000,0.0001,0.0456,0.0002,404,3.1595,159
0.0941,0.0467,0.0000,0.0001,0.0471,0.0001,404,3.1761,159
0.0904,0.0432,0.0000,0.0001,0.0470,0.0002,404,3.2640,159
0.0917,0.0457,0.0000,0.0001,0.0458,0.0001,404,3.2702,159
0.0875,0.0414,0.0000,0.0001,0.0459,0.0001,404,3.3544,159
0.0862,0.0407,0.0000,0.0000,0.0453,0.0001,404,3.3619,159
0.0934,0.0411,0.0000,0.0001,0.0520,0.0001,404,3.4420,159
0.0890,0.0409,0.0000,0.0001,0.0479,0.0001,404,3.4481,159
0.0895,0.0413,0.0000,0.0001,0.0478,0.0001,404,3.5354,159
0.0886,0.0404,0.0000,0.0000,0.0481,0.0000,404,3.5371,159
0.0898,0.0414,0.0000,0.0001,0.0482,0.0001,404,3.6257,159
0.0908,0.0418,0.0000,0.0001,0.0489,0.0001,404,3.6248,159
0.0962,0.0477,0.0000,0.0000,0.0484,0.0001,404,3.7156,159
0.0975,0.0479,0.0000,0.0000,0.0494,0.0001,404,3.7156,159
0.1060,0.0473,0.0000,0.0001,0.0585,0.0001,404,3.8118,159
0.1060,0.0465,0.0000,0.0001,0.0594,0.0001,404,3.8131,159
0.0908,0.0405,0.0000,0.0001,0.0500,0.0001,404,3.9178,159
0.0907,0.0401,0.0000,0.0001,0.0504,0.0000,404,3.9191,159
0.0882,0.0412,0.0000,0.0001,0.0468,0.0001,404,4.0086,159
0.0888,0.0413,0.0000,0.0001,0.0472,0.0001,404,4.0098,159
0.1245,0.0590,0.0000,0.0001,0.0653,0.0001,404,4.0969,159
0.1097,0.0606,0.0000,0.0001,0.0489,0.0001,404,4.2214,159
0.2856,0.0594,0.0000,0.0000,0.2259,0.0001,404,4.0985,159
0.0867,0.0412,0.0000,0.0001,0.0452,0.0002,404,4.3311,159
0.0868,0.0411,0.0000,0.0001,0.0456,0.0001,404,4.3841,159
0.0866,0.0409,0.0000,0.0001,0.0454,0.0002,404,4.4178,159
0.0861,0.0404,0.0000,0.0000,0.0457,0.0001,404,4.4710,159
0.0849,0.0409,0.0000,0.0002,0.0437,0.0001,404,4.5044,159
0.0867,0.0408,0.0000,0.0001,0.0458,0.0001,404,4.5571,159
0.0844,0.0406,0.0000,0.0001,0.0436,0.0001,404,4.5893,159
0.0859,0.0408,0.0000,0.0001,0.0448,0.0002,404,4.6438,159
0.0853,0.0405,0.0000,0.0001,0.0446,0.0001,404,4.6738,159
0.0872,0.0418,0.0000,0.0001,0.0452,0.0001,404,4.7297,159
0.0861,0.0412,0.0000,0.0001,0.0447,0.0001,404,4.7591,159
0.0854,0.0404,0.0000,0.0001,0.0449,0.0001,404,4.8169,159
0.0856,0.0412,0.0000,0.0001,0.0441,0.0001,404,4.8452,159
0.0883,0.0420,0.0000,0.0001,0.0461,0.0001,404,4.9023,159
0.0845,0.0406,0.0000,0.0001,0.0437,0.0001,404,4.9308,159
0.0861,0.0413,0.0000,0.0000,0.0447,0.0001,404,4.9906,159
0.0847,0.0407,0.0000,0.0001,0.0437,0.0001,404,5.0153,159
0.0869,0.0418,0.0000,0.0000,0.0450,0.0001,404,5.0767,159
0.0859,0.0420,0.0000,0.0001,0.0436,0.0001,404,5.1000,159
0.0866,0.0410,0.0000,0.0001,0.0454,0.0001,404,5.1636,159
0.0862,0.0412,0.0000,0.0001,0.0448,0.0001,404,5.1859,159
0.0931,0.0410,0.0000,0.0001,0.0518,0.0001,404,5.2502,159
0.0853,0.0411,0.0000,0.0001,0.0439,0.0001,404,5.2721,159
0.0868,0.0412,0.0000,0.0001,0.0453,0.0002,404,5.3432,159
