response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
120.0004,0.0418,0.0000,0.0001,1.4461,118.5123,200,0.1729,-1
120.0002,0.0417,0.0000,0.0002,0.4481,119.5102,200,0.1731,-1
120.0003,0.0412,0.0000,0.0001,1.4771,118.4818,200,120.1733,-1
120.0003,0.0412,0.0000,0.0001,0.5221,119.4367,200,120.1733,-1
120.0003,0.0412,0.0000,0.0001,0.4325,119.5265,200,240.1736,-1
120.0003,0.0410,0.0000,0.0001,1.4336,118.5256,200,240.1736,-1
120.0003,0.0411,0.0000,0.0001,0.4725,119.4866,200,360.1739,-1
120.0003,0.0412,0.0000,0.0001,1.4623,118.4966,200,360.1740,-1
120.0003,0.0516,0.0000,0.0001,0.4670,119.4815,200,480.1742,-1
120.0003,0.0517,0.0000,0.0001,1.4671,118.4814,200,480.1742,-1
120.0003,0.0439,0.0000,0.0001,1.4928,118.4635,200,600.1746,-1
120.0003,0.0438,0.0000,0.0001,0.4921,119.4641,200,600.1746,-1
120.0004,0.0434,0.0000,0.0000,0.4372,119.5197,200,720.1749,-1
120.0004,0.0432,0.0000,0.0001,1.4374,118.5196,200,720.1749,-1
120.0003,0.0412,0.0000,0.0001,1.4256,118.5334,200,840.1753,-1
120.0003,0.0410,0.0000,0.0001,0.4269,119.5322,200,840.1753,-1
120.0004,0.0418,0.0000,0.0002,1.4332,118.5250,200,960.1757,-1
120.0004,0.0418,0.0000,0.0002,0.4288,119.5295,200,960.1757,-1
120.0005,0.0412,0.0000,0.0001,0.4183,119.5408,200,1080.1760,-1
120.0005,0.0415,0.0000,0.0001,1.4246,118.5343,200,1080.1760,-1
