response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
30.0005,0.0514,0.0000,0.0001,3.4083,26.5405,200,0.2756
30.0003,0.0498,0.0000,0.0001,2.4035,27.5468,200,0.2758
30.0004,0.0496,0.0000,0.0001,0.4026,29.5478,200,0.2758
30.0004,0.0515,0.0000,0.0001,1.4011,28.5477,200,0.2758
30.0004,0.0482,0.0000,0.0001,3.4334,26.5186,200,30.2761
30.0004,0.0485,0.0000,0.0001,0.4256,29.5260,200,30.2762
30.0003,0.0482,0.0000,0.0001,2.4264,27.5256,200,30.2762
30.0004,0.0480,0.0000,0.0002,1.4249,28.5273,200,30.2762
