response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
120.0026,0.0069,0.0000,0.0001,2.4432,117.5515,200,0.6168,-1
120.0004,0.0042,0.0000,0.0002,1.4411,118.5548,200,0.6201,-1
120.0006,0.0048,0.0000,0.0002,3.4266,116.5690,200,120.6194,-1
120.0004,0.0043,0.0000,0.0019,2.4213,117.5729,200,120.6204,-1
120.0016,0.0061,0.0000,0.0001,3.7095,116.2858,200,240.6200,-1
120.0016,0.0057,0.0000,0.0001,1.7082,118.2876,200,240.6208,-1
120.0004,0.0053,0.0000,0.0001,2.4609,117.5341,200,360.6217,-1
120.0005,0.0037,0.0000,0.0003,0.4610,119.5355,200,360.6224,-1
120.0014,0.0038,0.0000,0.0001,2.4151,117.5823,200,480.6221,-1
120.0030,0.0037,0.0000,0.0002,1.4100,118.5890,200,480.6229,-1
120.0016,0.0050,0.0000,0.0002,3.4495,116.5468,200,600.6235,-1
120.0019,0.0056,0.0000,0.0004,1.4470,118.5489,200,600.6259,-1
120.0012,0.0045,0.0000,0.0001,2.3775,117.6191,200,720.6252,-1
120.0041,0.0042,0.0000,0.0003,3.3668,116.6328,200,720.6278,-1
120.0007,0.0035,0.0000,0.0004,0.4291,119.5677,200,840.6264,-1
120.0005,0.0056,0.0000,0.0004,1.4059,118.5885,200,840.6319,-1
120.0015,0.0036,0.0000,0.0001,0.4811,119.5166,200,960.6271,-1
120.0005,0.0048,0.0000,0.0003,2.4684,117.5270,200,960.6324,-1
120.0004,0.0073,0.0000,0.0003,0.3865,119.6062,200,1080.6286,-1
120.0015,0.0046,0.0000,0.0001,2.3936,117.6032,200,1080.6329,-1
120.0006,0.0038,0.0000,0.0005,2.4185,117.5778,200,1200.6290,-1
120.0010,0.0049,0.0000,0.0001,0.4292,119.5668,200,1200.6344,-1
120.0004,0.0064,0.0000,0.0001,3.3948,116.5991,200,1320.6296,-1
120.0005,0.0056,0.0000,0.0001,2.3887,117.6060,200,1320.6354,-1
120.0018,0.0036,0.0000,0.0001,1.8897,118.1081,200,1440.6301,-1
120.0010,0.0043,0.0000,0.0001,3.8861,116.1104,200,1440.6359,-1
120.0011,0.0127,0.0000,0.0001,2.4642,117.5240,200,1560.6318,-1
120.0028,0.0125,0.0000,0.0001,0.4657,119.5244,200,1560.6368,-1
120.0014,0.0085,0.0000,0.0001,3.3836,116.6092,200,1680.6329,-1
120.0006,0.0121,0.0000,0.0001,2.3761,117.6122,200,1680.6396,-1
