response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
30.0012,0.0610,0.0000,0.0002,7.4530,22.4859,200,0.3917
30.0011,0.0615,0.0000,0.0000,15.4587,14.4799,200,0.3918
30.0012,0.0611,0.0000,0.0000,18.4708,11.4681,200,0.3918
30.0013,0.0610,0.0000,0.0000,13.4598,16.4792,200,0.3917
30.0014,0.0612,0.0000,0.0000,17.4708,12.4680,200,0.3918
30.0016,0.0612,0.0000,0.0000,10.4545,19.4844,200,0.3917
30.0016,0.0611,0.0000,0.0000,1.4413,28.4977,200,0.3917
30.0017,0.0613,0.0000,0.0000,14.4623,15.4767,200,0.3918
30.0018,0.0610,0.0000,0.0000,6.4514,23.4880,200,0.3917
30.0018,0.0609,0.0000,0.0000,0.4485,29.4911,200,0.3917
30.0002,0.0625,0.0000,0.0000,12.8170,17.1207,200,30.3930
30.0004,0.0607,0.0000,0.0000,11.8186,18.1212,200,30.3929
30.0004,0.0623,0.0000,0.0000,19.8242,10.1139,200,30.3930
30.0006,0.0627,0.0000,0.0000,15.8190,14.1189,200,30.3929
30.0002,0.0623,0.0000,0.0000,13.8175,16.1204,200,30.3935
30.0004,0.0610,0.0000,0.0000,6.8093,23.1301,200,30.3933
30.0005,0.0614,0.0000,0.0000,3.8065,26.1326,200,30.3932
30.0007,0.0625,0.0000,0.0000,8.8129,21.1253,200,30.3933
30.0006,0.0626,0.0000,0.0000,16.8217,13.1163,200,30.3935
30.0006,0.0626,0.0000,0.0000,18.8230,11.1149,200,30.3935
30.0002,0.0619,0.0000,0.0000,12.7513,17.1869,200,60.3933
30.0001,0.0619,0.0000,0.0001,18.7622,11.1759,200,60.3936
30.0004,0.0623,0.0000,0.0000,3.7414,26.1966,200,60.3934
30.0005,0.0628,0.0000,0.0000,9.7453,20.1923,200,60.3934
30.0004,0.0620,0.0000,0.0000,16.7575,13.1809,200,60.3935
30.0000,0.0623,0.0000,0.0000,5.7431,24.1946,200,60.3940
30.0001,0.0625,0.0000,0.0000,6.7405,23.1971,200,60.3940
30.0006,0.0620,0.0000,0.0000,15.7542,14.1844,200,60.3936
30.0006,0.0622,0.0000,0.0000,4.7432,25.1952,200,60.3937
30.0004,0.0627,0.0000,0.0000,7.7454,22.1922,200,60.3940
30.0003,0.0609,0.0000,0.0000,4.9689,24.9704,200,90.3935
30.0001,0.0611,0.0000,0.0000,7.9704,21.9686,200,90.3939
30.0003,0.0625,0.0000,0.0000,13.9849,15.9528,200,90.3939
30.0001,0.0626,0.0000,0.0000,16.9849,12.9527,200,90.3941
30.0003,0.0620,0.0000,0.0000,11.9734,17.9649,200,90.3939
30.0001,0.0621,0.0000,0.0000,12.9759,16.9621,200,90.3943
30.0008,0.0626,0.0000,0.0000,14.9808,14.9574,200,90.3937
30.0006,0.0630,0.0000,0.0000,18.9910,10.9465,200,90.3943
30.0011,0.0624,0.0000,0.0000,21.9932,7.9454,200,90.3943
30.0013,0.0635,0.0000,0.0000,19.9900,9.9478,200,90.3942
30.0003,0.0612,0.0000,0.0000,19.6959,10.2432,200,120.3938
30.0002,0.0622,0.0000,0.0000,18.6919,11.2457,200,120.3940
30.0004,0.0623,0.0000,0.0000,5.6744,24.2637,200,120.3941
30.0003,0.0543,0.0000,0.0001,2.6766,27.2693,200,120.3943
30.0005,0.0598,0.0000,0.0000,3.6766,26.2641,200,120.3942
30.0002,0.0619,0.0000,0.0000,12.6857,17.2526,200,120.3949
30.0001,0.0615,0.0000,0.0000,16.6889,13.2496,200,120.3954
30.0002,0.0619,0.0000,0.0000,13.6861,16.2521,200,120.3955
30.0005,0.0616,0.0000,0.0000,11.6825,18.2561,200,120.3954
30.0005,0.0615,0.0000,0.0000,10.6803,19.2582,200,120.3954
30.0003,0.0613,0.0000,0.0000,11.5522,18.3867,200,150.3942
30.0005,0.0568,0.0000,0.0001,2.5422,27.4014,200,150.3941
30.0004,0.0628,0.0000,0.0000,9.5429,20.3946,200,150.3945
30.0004,0.0631,0.0000,0.0000,15.5531,14.3842,200,150.3945
30.0003,0.0633,0.0000,0.0000,18.5568,11.3801,200,150.3947
30.0001,0.0632,0.0000,0.0000,13.5521,16.3848,200,150.3951
30.0001,0.0626,0.0000,0.0000,7.5415,22.3960,200,150.3955
30.0001,0.0626,0.0000,0.0000,17.5618,12.3757,200,150.3957
30.0001,0.0623,0.0000,0.0000,14.5506,15.3872,200,150.3959
30.0001,0.0625,0.0000,0.0000,16.5568,13.3808,200,150.3960
