response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
30.0006,0.0608,0.0000,0.0000,5.4967,24.4431,200,240.3957
30.0006,0.0606,0.0000,0.0000,6.4940,23.4460,200,240.3958
30.0007,0.0615,0.0000,0.0000,13.5057,16.4334,200,240.3957
30.0006,0.0619,0.0000,0.0000,12.5023,17.4364,200,240.3958
30.0006,0.0622,0.0000,0.0000,19.5127,10.4257,200,240.3959
30.0003,0.0597,0.0000,0.0000,2.5839,27.3566,200,270.3959
30.0005,0.0604,0.0000,0.0000,10.5950,19.3450,200,270.3958
30.0001,0.0610,0.0000,0.0000,3.5785,26.3605,200,270.3963
30.0001,0.0612,0.0000,0.0000,11.5957,18.3432,200,270.3963
30.0003,0.0614,0.0000,0.0000,17.5975,12.3414,200,270.3962
30.0001,0.0594,0.0000,0.0000,9.5911,20.3496,200,270.3964
30.0001,0.0614,0.0000,0.0000,16.6025,13.3362,200,270.3964
30.0002,0.0593,0.0000,0.0000,1.0737,28.8672,200,270.3965
30.0004,0.0594,0.0000,0.0000,5.5859,24.3550,200,270.3963
30.0004,0.0600,0.0000,0.0000,7.5883,22.3521,200,270.3964
30.0002,0.0616,0.0000,0.0000,19.9340,10.0046,200,300.3963
30.0002,0.0602,0.0000,0.0000,5.9189,24.0211,200,300.3964
30.0002,0.0605,0.0000,0.0000,6.9183,23.0213,200,300.3964
30.0001,0.0614,0.0000,0.0000,11.9232,18.0154,200,300.3967
30.0004,0.0595,0.0000,0.0000,8.9223,21.0186,200,300.3964
30.0002,0.0593,0.0000,0.0000,2.9155,27.0253,200,300.3967
30.0004,0.0610,0.0000,0.0000,15.9255,14.0138,200,300.3966
30.0009,0.0596,0.0000,0.0000,7.9202,22.0210,200,300.3962
30.0007,0.0610,0.0000,0.0000,17.9300,12.0097,200,300.3965
30.0004,0.0611,0.0000,0.0000,18.9283,11.0109,200,300.3968
30.0005,0.0635,0.0000,0.0000,14.8454,15.0916,200,330.3965
30.0006,0.0601,0.0000,0.0000,1.4138,28.5266,200,330.3966
30.0005,0.0606,0.0000,0.0000,6.8353,23.1046,200,330.3968
30.0002,0.0652,0.0000,0.0000,2.8310,27.1039,200,330.3972
30.0014,0.0614,0.0000,0.0000,12.8483,17.0917,200,330.3970
30.0022,0.0653,0.0000,0.0000,13.8417,16.0951,200,330.3969
30.0024,0.0633,0.0000,0.0000,5.8353,24.1037,200,330.3969
30.0023,0.0614,0.0000,0.0000,1.8332,28.1077,200,330.3970
30.0031,0.0655,0.0000,0.0000,8.8365,21.1010,200,330.3966
30.0025,0.0650,0.0000,0.0000,3.8278,26.1096,200,330.3972
30.0002,0.0627,0.0000,0.0000,12.5499,17.3875,200,360.3972
30.0004,0.0632,0.0000,0.0000,7.5455,22.3916,200,360.3970
30.0003,0.0627,0.0000,0.0000,1.5356,28.4019,200,360.3973
30.0002,0.0630,0.0000,0.0000,6.5407,23.3965,200,360.3974
30.0002,0.0636,0.0000,0.0000,1.0319,28.9046,200,360.3985
30.0003,0.0632,0.0000,0.0000,9.5435,20.3935,200,360.3990
30.0001,0.0643,0.0000,0.0000,16.5514,13.3844,200,360.3993
30.0001,0.0639,0.0000,0.0000,13.5464,16.3898,200,360.3993
30.0001,0.0637,0.0000,0.0000,17.5512,12.3852,200,360.3997
30.0002,0.0644,0.0000,0.0000,18.5543,11.3815,200,360.3996
30.0003,0.0602,0.0000,0.0000,5.5982,24.3418,200,390.3976
30.0006,0.0610,0.0000,0.0000,1.0553,28.8843,200,390.3974
30.0007,0.0599,0.0000,0.0000,3.5982,26.3424,200,390.3974
30.0005,0.0606,0.0000,0.0000,1.5956,28.3443,200,390.3976
30.0001,0.0601,0.0000,0.0000,6.6006,23.3394,200,390.3987
30.0001,0.0615,0.0000,0.0000,2.5919,27.3467,200,390.3993
30.0001,0.0615,0.0000,0.0000,8.6014,21.3372,200,390.3994
30.0001,0.0611,0.0000,0.0000,17.6120,12.3270,200,390.3994
30.0001,0.0606,0.0000,0.0000,19.6156,10.3240,200,390.3998
30.0002,0.0612,0.0000,0.0000,18.6146,11.3243,200,390.3998
30.0003,0.0603,0.0000,0.0001,1.7959,28.1441,200,420.3981
30.0005,0.0607,0.0000,0.0000,1.0228,28.9170,200,420.3980
30.0006,0.0603,0.0000,0.0000,3.8045,26.1356,200,420.3980
30.0008,0.0623,0.0000,0.0000,6.8011,23.1373,200,420.3979
30.0001,0.0623,0.0000,0.0000,2.7969,27.1409,200,420.3988
30.0001,0.0634,0.0000,0.0000,16.8146,13.1221,200,420.3994
30.0001,0.0621,0.0000,0.0000,11.8117,18.1263,200,420.3995
30.0002,0.0624,0.0000,0.0000,10.8060,19.1317,200,420.3995
